reads
59
75
62
76
68
74
79
75
83
84
80
60
83
68
83
76
75
63
71
71
85
79
66
59
83
71
69
70
68
78
73
67
59
81
79
70
80
75
60
81
80
76
75
59
64
59
70
69
74
69
60
85
79
62
75
64
77
82
76
64
64
77
76
77
76
76
81
60
59
79
69
82
64
75
59
84
82
68
74
70
63
73
76
62
80
59
68
80
61
80
78
84
77
75
66
67
80
68
76
72
